sample	site	type	location	day	time	timepoint
SL336760	bed headboard	household surface	residence 3	1	evening	2
SL336761	door knob	household surface	residence 3	2	evening	4
SL336762	bed headboard	household surface	residence 3	3	evening	6
SL336763	bed headboard	household surface	residence 3	4	evening	8
SL336764	door knob	household surface	residence 3	5	evening	10
SL336765	door knob	household surface	residence 3	6	evening	12
SL336766	door knob	household surface	residence 3	7	evening	14
SL336767	park/campus handrail	public surface	residence 3	8	evening	16
SL336768	left palm	skin	residence 3	1	evening	2
SL336769	subway exit handrail	public surface	residence 3	2	evening	4
SL336770	left palm	skin	residence 3	3	evening	6
SL336771	left palm	skin	residence 3	4	evening	8
SL336772	right palm	skin	residence 3	5	evening	10
SL336773	right palm	skin	residence 3	6	evening	12
SL336774	right palm	skin	residence 3	7	evening	14
SL336775	bed headboard	household surface	residence 3	8	evening	16
SL336776	right palm	skin	residence 3	1	evening	2
SL336777	park/campus handrail	public surface	residence 3	2	evening	4
SL336778	right palm	skin	residence 3	3	evening	6
SL336779	right palm	skin	residence 3	4	evening	8
SL336780	subway exit handrail	public surface	residence 3	5	evening	10
SL336781	left palm	skin	residence 3	6	evening	12
SL336782	left palm	skin	residence 3	7	evening	14
SL336783	door knob	household surface	residence 3	8	evening	16
SL336794	left palm	skin	residence 1	1	morning	1
SL336798	right palm	skin	residence 1	1	morning	1
SL336799	door knob	household surface	residence 1	1	morning	1
SL336801	bed headboard	household surface	residence 1	1	morning	1
SL336804	park/campus handrail	public surface	residence 1	1	morning	1
SL336817	park/campus handrail	public surface	residence 1	2	morning	3
SL336819	subway exit handrail	public surface	residence 1	2	morning	3
SL336821	right palm	skin	residence 1	1	evening	2
SL336822	park/campus handrail	public surface	residence 1	2	evening	4
SL336826	left palm	skin	residence 1	1	evening	2
SL336827	right palm	skin	residence 1	2	evening	4
SL336831	bed headboard	household surface	residence 1	1	evening	2
SL336832	left palm	skin	residence 1	2	evening	4
SL336834	door knob	household surface	residence 1	1	evening	2
SL336835	subway exit handrail	public surface	residence 1	2	evening	4
SL336839	park/campus handrail	public surface	residence 1	1	evening	2
SL336840	bed headboard	household surface	residence 1	2	evening	4
SL336842	door knob	household surface	residence 1	2	evening	4
SL342547	left palm	skin	residence 1	3	morning	5
SL342548	right palm	skin	residence 1	3	morning	5
SL342549	door knob	household surface	residence 1	3	morning	5
SL342550	bed headboard	household surface	residence 1	3	morning	5
SL342551	park/campus handrail	public surface	residence 1	3	morning	5
SL342552	subway exit handrail	public surface	residence 1	3	morning	5
SL345570	bed headboard	household surface	residence 1	4	morning	7
SL345903	park/campus handrail	public surface	residence 2	1	morning	1
SL345904	right palm	skin	residence 2	2	morning	3
SL345905	subway exit handrail	public surface	residence 2	3	morning	5
SL345906	left palm	skin	residence 2	4	morning	7
SL345907	right palm	skin	residence 2	5	morning	9
SL345908	park/campus handrail	public surface	residence 2	6	morning	11
SL345909	right palm	skin	residence 2	7	morning	13
SL345910	subway exit handrail	public surface	residence 2	8	morning	15
SL345911	left palm	skin	residence 2	1	morning	1
SL345913	park/campus handrail	public surface	residence 2	3	morning	5
SL345914	door knob	household surface	residence 2	4	morning	7
SL345915	left palm	skin	residence 2	5	morning	9
SL345916	right palm	skin	residence 2	6	morning	11
