sample	species	abundance
SL259935	Corynebacterium_amycolatum	0
SL259936	Corynebacterium_amycolatum	0
SL259937	Corynebacterium_amycolatum	0
SL259943	Corynebacterium_amycolatum	0
SL259944	Corynebacterium_amycolatum	0
SL259945	Corynebacterium_amycolatum	0
SL259946	Corynebacterium_amycolatum	0
SL259925	Corynebacterium_aurimucosum	0
SL259926	Corynebacterium_aurimucosum	0
SL259927	Corynebacterium_aurimucosum	0
SL259928	Corynebacterium_aurimucosum	0
SL259934	Corynebacterium_aurimucosum	0
SL259935	Corynebacterium_aurimucosum	0
SL259936	Corynebacterium_aurimucosum	0
SL259937	Corynebacterium_aurimucosum	0
SL259943	Corynebacterium_aurimucosum	0
SL259944	Corynebacterium_aurimucosum	0
SL259945	Corynebacterium_aurimucosum	0
SL259946	Corynebacterium_aurimucosum	0
SL259925	Corynebacterium_casei	0
SL259926	Corynebacterium_casei	0
SL259927	Corynebacterium_casei	0
SL259928	Corynebacterium_casei	0
SL259934	Corynebacterium_casei	0
SL259935	Corynebacterium_casei	0
SL259936	Corynebacterium_casei	0
SL259937	Corynebacterium_casei	0
SL259943	Corynebacterium_casei	0
SL259944	Corynebacterium_casei	0
SL259945	Corynebacterium_casei	0
SL259946	Corynebacterium_casei	0
SL259925	Corynebacterium_crenatum	0
SL259926	Corynebacterium_crenatum	0
SL259927	Corynebacterium_crenatum	0
SL259928	Corynebacterium_crenatum	0.17992
SL259934	Corynebacterium_crenatum	0
SL259935	Corynebacterium_crenatum	0
SL259936	Corynebacterium_crenatum	0
SL259937	Corynebacterium_crenatum	0
SL259943	Corynebacterium_crenatum	0
SL259944	Corynebacterium_crenatum	0
SL259945	Corynebacterium_crenatum	0
SL259946	Corynebacterium_crenatum	0
SL259925	Corynebacterium_doosanense	0
SL259926	Corynebacterium_doosanense	0
SL259927	Corynebacterium_doosanense	0
SL259928	Corynebacterium_doosanense	0
SL259934	Corynebacterium_doosanense	0
SL259935	Corynebacterium_doosanense	0
SL259936	Corynebacterium_doosanense	0
SL259937	Corynebacterium_doosanense	0
SL259943	Corynebacterium_doosanense	0
SL259944	Corynebacterium_doosanense	0
SL259945	Corynebacterium_doosanense	0
SL259946	Corynebacterium_doosanense	0
SL259925	Corynebacterium_durum	0
SL259926	Corynebacterium_durum	0
SL259927	Corynebacterium_durum	0
SL259928	Corynebacterium_durum	0
SL259934	Corynebacterium_durum	0
SL259935	Corynebacterium_durum	0
SL259936	Corynebacterium_durum	0
SL259937	Corynebacterium_durum	0
SL259943	Corynebacterium_durum	0
SL259944	Corynebacterium_durum	0
SL259945	Corynebacterium_durum	0
SL259946	Corynebacterium_durum	0
SL259925	Corynebacterium_genitalium	0
SL259926	Corynebacterium_genitalium	0
SL259927	Corynebacterium_genitalium	0
SL259928	Corynebacterium_genitalium	0
SL259934	Corynebacterium_genitalium	0
SL259935	Corynebacterium_genitalium	0
SL259936	Corynebacterium_genitalium	0
SL259937	Corynebacterium_genitalium	0
SL259943	Corynebacterium_genitalium	0
SL259944	Corynebacterium_genitalium	0
SL259945	Corynebacterium_genitalium	0
SL259946	Corynebacterium_genitalium	0
SL259925	Corynebacterium_glucuronolyticum	0
SL259926	Corynebacterium_glucuronolyticum	0
